Step,Site,State
27,Histone_9,C
28,Histone_1,P
28,Histone_10,P
28,Histone_2,M
28,Histone_3,U
28,Histone_4,P
28,Histone_5,P
28,Histone_6,C
28,Histone_7,M
28,Histone_8,P
28,Histone_9,C
29,Histone_1,P
29,Histone_10,P
29,Histone_2,M
29,Histone_3,U
29,Histone_4,P
29,Histone_5,P
29,Histone_6,C
29,Histone_7,U
29,Histone_8,P
29,Histone_9,C
30,Histone_1,P
30,Histone_10,P
30,Histone_2,U
30,Histone_3,M
30,Histone_4,P
30,Histone_5,P
30,Histone_6,C
30,Histone_7,U
30,Histone_8,P
30,Histone_9,C
31,Histone_1,P
31,Histone_10,P
31,Histone_2,U
31,Histone_3,U
31,Histone_4,P
31,Histone_5,P
31,Histone_6,C
31,Histone_7,M
31,Histone_8,P
31,Histone_9,C
32,Histone_1,P
32,Histone_10,P
32,Histone_2,C
32,Histone_3,U
32,Histone_4,P
32,Histone_5,P
32,Histone_6,U
32,Histone_7,M
32,Histone_8,P
32,Histone_9,C
33,Histone_1,P
33,Histone_10,P
33,Histone_2,C
33,Histone_3,A
33,Histone_4,P
33,Histone_5,P
33,Histone_6,U
33,Histone_7,M
33,Histone_8,P
33,Histone_9,C
34,Histone_1,U
34,Histone_10,P
34,Histone_2,C
34,Histone_3,C
34,Histone_4,P
34,Histone_5,P
34,Histone_6,P
34,Histone_7,M
34,Histone_8,P
34,Histone_9,C
35,Histone_1,C
35,Histone_10,P
35,Histone_2,C
35,Histone_3,U
35,Histone_4,P
35,Histone_5,P
35,Histone_6,P
35,Histone_7,M
35,Histone_8,P
35,Histone_9,C
36,Histone_1,C
36,Histone_10,P
36,Histone_2,U
36,Histone_3,A
36,Histone_4,P
36,Histone_5,P
36,Histone_6,P
36,Histone_7,M
36,Histone_8,P
36,Histone_9,C
37,Histone_1,C
37,Histone_10,P
37,Histone_2,U
37,Histone_3,P
37,Histone_4,P
37,Histone_5,P
37,Histone_6,P
37,Histone_7,M
37,Histone_8,P
37,Histone_9,C
38,Histone_1,C
38,Histone_10,P
38,Histone_2,U
38,Histone_3,P
38,Histone_4,P
38,Histone_5,P
38,Histone_6,P
38,Histone_7,M
38,Histone_8,P
38,Histone_9,U
39,Histone_1,C
39,Histone_10,P
39,Histone_2,U
39,Histone_3,U
39,Histone_4,P
39,Histone_5,P
39,Histone_6,P
39,Histone_7,M
39,Histone_8,P
39,Histone_9,M
40,Histone_1,C
40,Histone_10,P
40,Histone_2,U
40,Histone_3,U
40,Histone_4,P
40,Histone_5,P
40,Histone_6,P
40,Histone_7,U
40,Histone_8,P
40,Histone_9,M
41,Histone_1,C
41,Histone_10,U
41,Histone_2,M
41,Histone_3,M
41,Histone_4,U
41,Histone_5,P
41,Histone_6,P
41,Histone_7,C
41,Histone_8,P
41,Histone_9,M
42,Histone_1,C
42,Histone_10,M
42,Histone_2,M
42,Histone_3,M
42,Histone_4,U
42,Histone_5,P
42,Histone_6,P
42,Histone_7,C
42,Histone_8,P
42,Histone_9,M
43,Histone_1,C
43,Histone_10,M
43,Histone_2,M
43,Histone_3,M
43,Histone_4,U
43,Histone_5,P
43,Histone_6,P
43,Histone_7,C
43,Histone_8,P
43,Histone_9,M
44,Histone_1,C
44,Histone_10,M
44,Histone_2,M
44,Histone_3,M
44,Histone_4,U
44,Histone_5,P
44,Histone_6,P
44,Histone_7,C
44,Histone_8,P
44,Histone_9,M
45,Histone_1,C
45,Histone_10,M
45,Histone_2,M
45,Histone_3,U
45,Histone_4,C
45,Histone_5,P
45,Histone_6,P
45,Histone_7,C
45,Histone_8,P
45,Histone_9,M
46,Histone_1,C
46,Histone_10,M
46,Histone_2,M
46,Histone_3,M
46,Histone_4,C
46,Histone_5,U
46,Histone_6,P
46,Histone_7,C
46,Histone_8,P
46,Histone_9,M
47,Histone_1,C
47,Histone_10,M
47,Histone_2,M
47,Histone_3,M
47,Histone_4,C
47,Histone_5,M
47,Histone_6,P
47,Histone_7,C
47,Histone_8,P
47,Histone_9,M
48,Histone_1,C
48,Histone_10,M
48,Histone_2,M
48,Histone_3,M
48,Histone_4,C
48,Histone_5,M
48,Histone_6,P
48,Histone_7,C
48,Histone_8,P
