Step,Site,State
27,Histone_9,M
28,Histone_1,M
28,Histone_10,M
28,Histone_2,M
28,Histone_3,M
28,Histone_4,M
28,Histone_5,M
28,Histone_6,M
28,Histone_7,M
28,Histone_8,M
28,Histone_9,M
29,Histone_1,M
29,Histone_10,M
29,Histone_2,M
29,Histone_3,M
29,Histone_4,M
29,Histone_5,M
29,Histone_6,M
29,Histone_7,M
29,Histone_8,M
29,Histone_9,M
30,Histone_1,M
30,Histone_10,M
30,Histone_2,M
30,Histone_3,M
30,Histone_4,M
30,Histone_5,M
30,Histone_6,M
30,Histone_7,M
30,Histone_8,M
30,Histone_9,M
31,Histone_1,M
31,Histone_10,M
31,Histone_2,M
31,Histone_3,M
31,Histone_4,M
31,Histone_5,M
31,Histone_6,M
31,Histone_7,M
31,Histone_8,M
31,Histone_9,M
32,Histone_1,M
32,Histone_10,U
32,Histone_2,M
32,Histone_3,M
32,Histone_4,M
32,Histone_5,M
32,Histone_6,M
32,Histone_7,M
32,Histone_8,M
32,Histone_9,M
33,Histone_1,M
33,Histone_10,M
33,Histone_2,M
33,Histone_3,M
33,Histone_4,M
33,Histone_5,M
33,Histone_6,M
33,Histone_7,M
33,Histone_8,M
33,Histone_9,M
34,Histone_1,M
34,Histone_10,M
34,Histone_2,M
34,Histone_3,M
34,Histone_4,M
34,Histone_5,M
34,Histone_6,M
34,Histone_7,M
34,Histone_8,M
34,Histone_9,M
35,Histone_1,M
35,Histone_10,M
35,Histone_2,M
35,Histone_3,M
35,Histone_4,M
35,Histone_5,M
35,Histone_6,M
35,Histone_7,U
35,Histone_8,M
35,Histone_9,M
36,Histone_1,M
36,Histone_10,M
36,Histone_2,M
36,Histone_3,M
36,Histone_4,M
36,Histone_5,M
36,Histone_6,M
36,Histone_7,M
36,Histone_8,M
36,Histone_9,M
37,Histone_1,M
37,Histone_10,M
37,Histone_2,M
37,Histone_3,M
37,Histone_4,M
37,Histone_5,M
37,Histone_6,M
37,Histone_7,M
37,Histone_8,M
37,Histone_9,M
38,Histone_1,M
38,Histone_10,M
38,Histone_2,M
38,Histone_3,M
38,Histone_4,M
38,Histone_5,M
38,Histone_6,M
38,Histone_7,M
38,Histone_8,M
38,Histone_9,M
39,Histone_1,M
39,Histone_10,M
39,Histone_2,M
39,Histone_3,M
39,Histone_4,M
39,Histone_5,M
39,Histone_6,M
39,Histone_7,M
39,Histone_8,M
39,Histone_9,U
40,Histone_1,M
40,Histone_10,M
40,Histone_2,M
40,Histone_3,M
40,Histone_4,M
40,Histone_5,M
40,Histone_6,M
40,Histone_7,M
40,Histone_8,M
40,Histone_9,U
41,Histone_1,M
41,Histone_10,M
41,Histone_2,M
41,Histone_3,M
41,Histone_4,M
41,Histone_5,M
41,Histone_6,M
41,Histone_7,M
41,Histone_8,M
41,Histone_9,U
42,Histone_1,M
42,Histone_10,M
42,Histone_2,M
42,Histone_3,M
42,Histone_4,M
42,Histone_5,M
42,Histone_6,M
42,Histone_7,M
42,Histone_8,M
42,Histone_9,U
43,Histone_1,M
43,Histone_10,M
43,Histone_2,M
43,Histone_3,M
43,Histone_4,M
43,Histone_5,M
43,Histone_6,M
43,Histone_7,U
43,Histone_8,M
43,Histone_9,U
44,Histone_1,M
44,Histone_10,M
44,Histone_2,M
44,Histone_3,M
44,Histone_4,M
44,Histone_5,M
44,Histone_6,M
44,Histone_7,M
44,Histone_8,M
44,Histone_9,U
45,Histone_1,M
45,Histone_10,M
45,Histone_2,U
45,Histone_3,M
45,Histone_4,M
45,Histone_5,M
45,Histone_6,M
45,Histone_7,M
45,Histone_8,M
45,Histone_9,U
46,Histone_1,M
46,Histone_10,M
46,Histone_2,M
46,Histone_3,M
46,Histone_4,M
46,Histone_5,M
46,Histone_6,M
46,Histone_7,M
46,Histone_8,M
46,Histone_9,U
47,Histone_1,M
47,Histone_10,M
47,Histone_2,M
47,Histone_3,M
47,Histone_4,M
47,Histone_5,M
47,Histone_6,M
47,Histone_7,M
47,Histone_8,M
47,Histone_9,U
48,Histone_1,M
48,Histone_10,M
48,Histone_2,M
48,Histone_3,M
48,Histone_4,M
48,Histone_5,M
48,Histone_6,M
48,Histone_7,M
48,Histone_8,M
48,Histone_9,U
49,Histone_1,M
49,Histone_10,M
49,Histone_2,M
49,Histone_3,M
49,Histone_4,M
49,Histone_5,M
49,Histone_6,M
49,Histone_7,M
49,Histone_8,M
49,Histone_9,M
50,Histone_1,M
50,Histone_10,M
50,Histone_2,M
50,Histone_3,M
50,Histone_4,M
50,Histone_5,M
50,Histone_6,M
50,Histone_7,M
50,Histone_8,M
50,Histone_9,M
51,Histone_1,M
51,Histone_10,M
51,Histone_2,M
51,Histone_3,M
51,Histone_4,M
51,Histone_5,M
51,Histone_6,M
51,Histone_7,M
51,Histone_8,M
51,Histone_9,M
52,Histone_1,M
52,Histone_10,M
52,Histone_2,M
52,Histone_3,M
52,Histone_4,M
52,Histone_5,M
52,Histone_6,M
52,Histone_7,M
52,Histone_8,M
52,Histone_9,M
53,Histone_1,M
53,Histone_10,M
53,Histone_2,M
53,Histone_3,M
53,Histone_4,M
53,Histone_5,M
53,Histone_6,M
53,Histone_7,M
53,Histone_8,M
53,Histone_9,M
54,Histone_1,M
54,Histone_10,M
54,Histone_2,M
54,Histone_3,M
54,Histone_4,M
54,Histone_5,M
54,Histone_6,M
54,Histone_7,M
54,Histone_8,M
54,Histone_9,M
55,Histone_1,M
55,Histone_10,M
55,Histone_2,M
55,Histone_3,M
55,Histone_4,M
55,Histone_5,M
55,Histone_6,M
55,Histone_7,M
55,Histone_8,M
55,Histone_9,M
56,Histone_1,M
56,Histone_10,M
56,Histone_2,M
56,Histone_3,M
56,Histone_4,M
56,Histone_5,M
56,Histone_6,M
56,Histone_7,M
56,Histone_8,M
56,Histone_9,M
57,Histone_1,M
57,Histone_10,M
57,Histone_2,M
57,Histone_3,M
57,Histone_4,M
57,Histone_5,M
57,Histone_6,M
57,Histone_7,M
57,Histone_8,M
57,Histone_9,M
58,Histone_1,M
58,Histone_10,M
58,Histone_2,M
58,Histone_3,M
58,Histone_4,M
58,Histone_5,M
58,Histone_6,M
58,Histone_7,M
58,Histone_8,M
58,Histone_9,M
59,Histone_1,M
59,Histone_10,M
59,Histone_2,M
59,Histone_3,M
59,Histone_4,M
59,Histone_5,M
59,Histone_6,M
59,Histone_7,M
59,Histone_8,M
59,Histone_9,M
60,Histone_1,M
60,Histone_10,M
60,Histone_2,M
60,Histone_3,M
60,Histone_4,M
60,Histone_5,M
